AirportCodeCityNameWorldAreaCode
AZO,KALAMAZOO,MICHIGAN,USA,43
AZR,ADRAR,ALGERIA,500
AZT,ZAPATOCA,COLOMBIA,327
AZZ,AMBRIZ,ANGOLA,502
BAA,BIALLA,PAPUANEWGUINEA,804
BAB,MARYSVILLE,CALIFORNIA,USA,91
BAC,BARRANCADEUPIA,COLOMBIA,327
BAD,SHREVEPORT,LOUISIANA,USA,72
BAE,BARCELONNETTE,FRANCE,427
BAF,WESTFIELD,MASSACHUSETTS,USA,13
BAG,BAGUIO,PHILIPPINES,766
BAH,BAHRAINIS.,BAHRAIN,605
BAI,BUENOSAIRES,COSTARICA,110
BAJ,BALI,PAPUANEWGUINEA,804
BAK,BAKU,AZERBAIJAN,407
BAL,ATMAN,TURKEY,679
BAM,BATTLEMOUNTAIN,NEVADA,USA,85
BAN,BASONGO,ZAIRE,517
BAO,BANMAKKHAENG,THAILAND,782
BAP,BAIBARA,PAPUANEWGUINEA,804
BAQ,BARRANQUILLA,COLOMBIA,327
BAR,BAKERISLAND,ALASKA,USA,1
BAS,BALALAE,SOLOMONIS.,874
BAT,BARRETOS,BRAZIL,316
BAU,BAURU,BRAZIL,316
BAV,BAOTOU,CHINA,713
BAW,BIAWONQUE,GABON,526
BAX,BARNAUL,RUSSIA,770
BAY,BAIAMARE,ROMANIA,473
BAZ,BARCELOS,BRAZIL,316
BBA,BALMACEDA,CHILE,324
BBB,BENSON,MINNESOTA,USA,63
BBC,BAYCITY,TEXAS,USA,74
BBD,BRADY,TEXAS,USA,74
BBE,BIGBELL,W.AUSTRALIA,802
BBF,BURLINGTON,MASSACHUSETTS,USA,13
BBG,BUTARITARI,GILBERTIS.,S.PACIFIC,824
BBH,BARTH,GERMANY,429
BBI,BHUBANESWAR,INDIA,733
BBK,KASANE,BOTSWANA,510
BBL,BABOLSAR,IRAN,632
BBM,BATTAMBANG,DEMOCRATICKAMPUCHEA,709
BBN,BARIO,SARAWAK,MALAYSIA,749
BBO,BERBERA,SOMALIA,573
BBP,BEMBRIDGE,ENGLANDUK,493
BBQ,BARBUDA,WESTINDIES,206
BBR,BASSETERRE,GUADELOUPE,235
BBS,BLACKBUSH,ENGLANDUK,493
BBT,BERBERATI,CEN.AFRICANEMPIRE,509
BBU,BUCHAREST,ROM.,473
BBV,BEREBY,IVORYCOAST,533
BBW,BROKENBOW,NEBRASKA,USA,65
BBX,BLUEBELL,PENNSYLVANIA,USA,23
BBY,BAMBARI,CEN.AFRICANEMPIRE,509
BBZ,ZAMBEZI,ZAMBIA,597
BCA,BARACOA,CUBA,219
BCB,BLACKSBURG,VIRGINIA,USA,38
BCC,BEARCREEK,ALASKA,USA,1
BCD,BACOLOD,PHILIPPINES,766
BCE,BRYCECANYON,UTAH,USA,87
BCF,BOUCA,CEN.AFRICANREPUBLIC,509
BCG,BEMICHI,GUYANA,350
BCH,BAUCAU,INDONESIA,862
BCI,BARCALDINE,QLD.,AUSTRALIA,802
BCJ,BACAGRANDE,COLORADO,USA,82
BCK,BOLWORRA,QLD.,AUSTRALIA,802
BCL,BARRACOLORADO,COSTARICA,110
BCM,BACAU,ROMANIA,473
BCN,BARCELONA,SPAIN,482
BCO,BACO,ETHIOPIA,522
BCP,BAMBU,PAPUANEWGUINEA,804
BCQ,BRACH,LIBYANAJAMAHIRIYA,538
BCR,BOCADOACRE,BRAZIL,316
BCS,BELLECHASSE,LOUISIANA,USA,72
BCT,BOCARATON,FLORIDA,USA,33
BCU,BAUCHI,NIGERIA,555
BCV,BELMOPAN,BELIZE,106
BCX,BELORECK,RUSSIA,475
BCY,BULCHI,ETHIOPIA,522
BCZ,BICKERTONISLAND,NT,AUSTRALIA,802
BDA,BERMUDA,ATLANTICOCEAN,207
BDB,BUNDABERG,QLD.,AUSTRALIA,802
BDC,BARRADOCORDA,BRAZIL,316
BDD,BADUISLAND,QLD.,AUSTRALIA,802
BDE,BAUDETTE,MINNESOTA,USA,63
BDF,BRADFORD,ILLINOIS,USA,41
BDG,BLANDING,UTAH,USA,87
BDH,BANDARLENGEH,IRAN,632
BDI,BIRDIS.,SEYCHELLESIS.INDIANOCE,570
BDJ,BANJARMASIN,INDONESIA,832
BDK,BONDOUKOU,IVORYCOAST,533
BDL,HARTFORD,CT/SPRINGFIELD,MA,USA,11
BDM,BANDIRMA,TURKEY,679
BDN,ADIN,PAKISTAN,764
BDO,BANDUNG,INDONESIA,832
BDP,BHADRAPUR,NEPAL,755
BDQ,VADODARA,INDIA,733
BDR,BRIDGEPORT,CONNECTICUT,USA,11
BDS,BRINDISI,ITALY,450
BDT,BADOLITE,ZAIRE,517
BDU,BARDUFOSS,NORWAY,465
BDV,MOBA,ZAIRE,517
BDW,BEDFORDDOWNS,W.AUSTRALIA,802
BDX,BROADUS,MONTANA,USA,84
BDY,BANDON,OREGON,USA,92
BDZ,BAINDOUNG,PAPUANEWGUINEA,804
BEA,BEREINA,PAPUANEWGUINEA,804
BEB,BENBECULA,HEBRIDESIS.,SCOT.,U.K,493
BED,BEDFORD,MASSACHUSETTS,USA,13
BEE,BEAGLE,QLD.,AUSTRALIA,802
BEF,BLUEFIELDS,NICARAGUA,153
BEG,BELGRADE,SERBIA,480
BEH,BENTONHARBOR,MICHIGAN,USA,43
